objectname,RA,DEC,prob,period,comper,Type,SNR1,SNR2,sector
TIC 267556582,311.649847365077,54.8764858463052,0.820498,5.363917291792025,5.363917291792025,EA,21.480474447199327,10.349054810301972,"[15, 16]"
TIC 81174621,166.773513276168,-50.7987156421449,0.82044935,4.551892297912715,2.2759461489563577,ROT,1.1703341950360626,2.139182266152404,[37]
TIC 407588360,47.7048219822032,10.0059005585374,0.8203522,11.98080709984458,5.9904035499222905,ROT,1.3561596657456922,3.293986204309177,[43]
TIC 287690192,297.194539739127,24.8058308670862,0.8202645,0.1209081348206863,0.1209081348206863,DSCT,3.7883126808490974,1.8153477822374111,"[14, 41]"
TIC 102075319,181.87267553156,-41.4062269600609,0.8201844,0.5404088673509612,0.5404088673509612,EA,5.106049861775301,5.238075253261653,[37]
TIC 60380693,112.228743,-46.166373,0.8201323,0.8093373400077226,0.8093373400077226,ROT,2.151001347412373,2.045366850700219,[8]
TIC 188542320,345.210389723026,-6.25155409121216,0.8201157,5.648697111824344,5.648697111824344,CEP,6.669148089532956,7.704681318777393,[42]
TIC 113918421,54.1301880084527,22.7824846856739,0.8201119,0.9200571966121216,0.4600285983060608,EA,1.74016349174726,3.0278174921280705,"[42, 44]"
TIC 314393072,202.650411331809,-65.130005788074,0.82005596,0.2316003681956081,0.2316003681956081,ROT,2.603056624111208,2.082818382148671,[38]
TIC 36077464,149.6289,-47.4883,0.81999636,0.1727976742116598,0.0863988371058299,EW,2.285342683853053,6.310143458141893,[9]
TIC 8245065,157.36156012336,39.7689945500454,0.81992257,0.328025383138176,0.164012691569088,EW,4.909531913124052,31.988368339012528,"[21, 48]"
TIC 109931835,113.724362666321,-28.7145478608456,0.8197305,1.1008973747423452,1.1008973747423452,EA,2.2331911007956973,2.2162092800699376,[34]
TIC 72768003,270.848731743537,33.9918805081394,0.8196957,0.7551911469414163,0.3775955734707081,EW,1.4515444925148706,59.52823120921893,[40]
TIC 229404675,292.718871512686,63.2939968434937,0.8196054,10.528530974647468,5.264265487323733,ROT,1.2079325526528246,2.398972883417584,[18]
TIC 271164763,294.635885071822,46.0664275435337,0.81952167,0.1257801219263281,0.1257801219263281,DSCT,12.06066157563504,11.72058076022517,"[14, 15, 40]"
TIC 59232730,240.130481,-36.087903,0.81936866,4.333307897603011,2.166653948801505,EA,1.02654792781658,3.807363203895808,[12]
TIC 307304908,108.279892,-17.245587,0.81930596,2.803620997794292,1.4018104988971458,EA,1.027773549872806,2.1940483281507013,[7]
TIC 98909020,235.9657,-35.362062,0.8192821,1.0241052899424357,1.0241052899424357,ROT,1.987796487909985,2.191657212163506,[12]
TIC 31313111,88.2491791413465,-68.4426117405921,0.8192285,1.997163080540032,0.998581540270016,ROT,1.3514959916895155,3.850360186342026,"[4, 28, 29, 31, 32, 34, 35, 36, 38, 39]"
TIC 167486134,71.9631691351523,-11.5865444474681,0.8191761,1.2217380532905058,1.2217380532905058,EA,4.1598921595103775,2.925171514712874,[5]
TIC 392368057,170.861785256371,45.1194747920809,0.8190319,3.0259504744319736,3.0259504744319736,CEP,3.626752076282671,2.950257627324425,[22]
TIC 294092966,107.348232816488,-57.4964217595255,0.8190282,0.9020112361097568,0.4510056180548784,EA,1.87354387851112,11.4150829368438,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 27, 29, 30, 31, 32, 33, 34, 35, 36, 37, 39]"
TIC 156759343,103.354813,-36.442132,0.8189714,12.036585580430613,6.018292790215306,ROT,1.151872506155737,2.108956121623762,"[6, 34]"
TIC 293081694,175.041388,-27.263222,0.81880933,1.2588289027299753,0.6294144513649876,EA,1.3446467102482589,4.980889491092492,[10]
TIC 141691538,231.589901,-48.142286,0.81878567,1.714407762248787,0.8572038811243935,ROT,1.1449767992176538,2.716236602226972,[12]
TIC 270575582,86.678102,-48.406288,0.8187059,11.405796459726249,5.702898229863124,ROT,1.484449043547707,2.260430265827249,[6]
TIC 159831469,235.711503406522,52.3609012252896,0.8185653,1.2944961787285083,0.6472480893642543,ROT,1.3503054418583973,13.987642396094042,"[16, 23, 24, 49, 50]"
TIC 201741934,2.14470241159996,52.0489759600626,0.8185175,3.47474650112366,3.47474650112366,ROT,10.775293785644909,10.45298578959627,[17]
TIC 72167955,92.3265710923847,-9.12706082355652,0.818494,8.0015691105615,4.00078455528075,ROT,5.634613489891366,8.961998411952678,[33]
TIC 320171928,294.056326,-56.823106,0.8183519,12.140938847389616,6.070469423694807,ROT,1.1566716296941015,2.029826841844659,[13]
TIC 339566276,253.481718,-41.880936,0.8182764,4.260036612271945,2.1300183061359723,EA,1.6563722342124687,4.956162956787436,[12]
TIC 428784674,27.2456002745604,80.3663677834205,0.81825143,1.1964578961551766,1.1964578961551766,EA,2.1664754436126685,2.2497978092838613,"[19, 25, 26]"
TIC 184873310,130.721100683058,20.8192389398094,0.8181148,0.475319981338267,0.475319981338267,ROT,2.2043361056215063,1.240404393152822,[46]
TIC 200624064,264.390616,-29.757028,0.818088,0.1909471627875992,0.1909471627875992,RRC,1.978329053366192,2.673116399599161,"[12, 39]"
TIC 352691883,308.056388965264,65.39921534641,0.8180336,0.4850040147003766,0.4850040147003766,ROT,3.3210570969156694,1.5893650225905809,[16]
TIC 260418241,95.8729213368835,-55.1247654073199,0.81802386,12.552989280203889,12.552989280203889,ROT,1.7047902558061458,2.39728201523126,[33]
TIC 262809045,19.688676852172,2.01486244572065,0.81796753,0.5503567103463776,0.5503567103463776,ROT,2.1834786571621514,2.032350848523578,[42]
TIC 1332868,73.1590091206313,-30.6605263836582,0.8179597,1.92601500223191,0.963007501115955,ROT,0.98542439972302,2.773904968169948,[32]
TIC 91701376,302.243106928617,35.4733016250305,0.81777155,0.8485938238805316,0.4242969119402658,EA,2.3181128265462867,5.292026228281895,[41]
TIC 49175300,165.29522,-31.546796,0.81770855,0.2641816944020309,0.1320908472010154,ROT,1.9360978086454763,5.960744664479242,[9]
TIC 66300650,72.2741316068675,61.5073898428285,0.8175795,12.1695349067671,12.1695349067671,ROT,1.6266505632525232,2.247068044774076,[19]
TIC 36736310,154.997849,-9.059007,0.81756186,0.4803805937028943,0.4803805937028943,ROT,1.6590122242239076,2.351703508853442,[9]
TIC 276004385,208.226395,-43.871872,0.81742626,0.8889730292177935,0.8889730292177935,ROT,2.291750377775627,1.6836996184135362,[11]
TIC 139067693,319.136842,-47.568445,0.8173398,0.2369171585578223,0.2369171585578223,ROT,2.874236165059101,2.830350057874053,[1]
TIC 280073347,298.333330415716,69.0758510794539,0.81732273,1.4247903302401452,1.4247903302401452,ROT,1.946195805335432,2.0356697543180395,[49]
TIC 288736177,282.046833618689,82.1733987517339,0.8172629,3.347466428300039,3.347466428300039,CEP,10.447662832737317,5.790099866916293,"[40, 47]"
